,PN,REF,ISD,CPC,IPC,b_cits
93,5924085,4,1999-07-13,1,3,['NULL']
94,5848976,5,1998-12-15,2,3,"['4295567', '5099857']"
95,5841949,8,1998-11-24,2,4,['5249257']
96,5809493,130,1998-09-15,1,3,['NULL']
97,5768122,27,1998-06-16,10,5,"['4030207', '4066256', '4418911', '4456093', '4505472', '4710129', '4751662', '4752065', '4879849', '4892419', '5009412', '5052932', '5063335', '5162986', '5179525', '5192247', '5202837', '5204935', '5206566', '5209661', '5209662', '5231335', '5241651', '5247432', '5269687', '5278770', '5282772', '5320538', '5341079', '5370535', '5414799', '5459382', '5490784', '5499920', '5527184', '5560256', '5568032']"
98,5760760,174,1998-06-02,4,2,"['5029982', '5270818', '5315695', '5406305']"
99,5758027,20,1998-05-26,4,5,"['5179624', '5550543']"
100,5751915,20,1998-05-12,1,4,"['5179624', '5228113']"
101,5748846,5,1998-05-05,3,5,['NULL']
102,5745706,258,1998-04-28,3,2,"['4346442', '4750119', '4885685', '4972463', '4994964', '5036461', '5210678', '5214579']"
103,5742517,34,1998-04-21,1,2,['NULL']
104,5741230,25,1998-04-21,4,3,['NULL']
105,5737728,152,1998-04-07,7,2,"['4092718', '4212069', '4799162', '4937743', '5099431', '5122959', '5177684', '5241465', '5255181', '5295065', '5325292']"
106,5724254,12,1998-03-03,5,5,"['4886590', '4943161', '4943929', '5203984', '5239483']"
107,5723794,21,1998-03-03,2,3,"['3897766', '3902805', '3934459', '3950987', '4008600', '4123158', '4282756', '4320966', '4347748', '4520681', '4541059', '4648274', '4668086', '4760437', '4977516', '4979124', '4980844', '5001937', '5298964', '5365796', '5433115', '5438882', '5495774', '5501105']"
108,5715371,35,1998-02-03,1,3,"['4868763', '4881230', '4920499', '5208898', '5227835', '5257185', '5282265', '5307446', '5386498', '5418943', '5465319', '5572583']"
109,5701400,743,1997-12-23,1,3,"['4658370', '4754409', '4847784', '4866634', '4866635', '4884218', '4891766', '4920499', '4928236', '4930071', '4949278', '4970657', '5006992', '5025392', '5034898', '5043915', '5103498', '5121496', '5131087', '5159669', '5164912', '5167012', '5179632', '5191638', '5193143', '5228116', '5257185', '5284947', '5481647']"
110,5694599,2,1997-12-02,6,3,['NULL']
111,5680476,22,1997-10-21,4,2,"['4066999', '4327354', '4589140', '4760604', '4897881', '5065431', '5073962']"
112,5675521,19,1997-10-07,2,2,"['4649515', '4713775', '4912664', '5010501', '5016204', '5025392', '5101362', '5195095', '5202843', '5214752']"
113,5666469,7,1997-09-09,1,2,"['5067166', '5146540', '5228115', '5249261', '5467268']"
114,6668219,33,2003-12-23,1,2,['NULL']
115,6658398,19,2003-12-02,2,4,"['4622013', '4874784', '4891766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779486', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539', '6347943']"
116,6640227,42,2003-10-28,4,2,"['5970421', '6049797', '6104835', '6226408', '6260038', '6307965', '6397166', '6421668']"
117,6615070,29,2003-09-02,3,3,['NULL']
118,6611881,70,2003-08-26,12,2,['NULL']
119,6609118,93,2003-08-19,7,2,"['5361201', '5857174', '6178406']"
120,6609050,61,2003-08-19,2,2,"['4404639', '4989146', '5432904', '5594791', '5657233', '5764923', '5778381', '5884202', '6009355', '6104988']"
121,6606529,90,2003-08-12,2,2,['NULL']
122,6600749,14,2003-07-29,4,4,"['4999833', '5175800', '5179632', '5408526', '5541917', '5630025', '5953338']"
123,6591166,19,2003-07-08,5,3,"['4649515', '4833622', '4967337', '5394543', '5696696', '5724254', '5737519', '5748495', '5966683', '5976466', '6012152']"
124,6587846,16,2003-07-01,1,2,['NULL']
125,6587786,14,2003-07-01,2,4,"['4242731', '4502123', '4570227', '4630209', '4677429', '4679147', '4758959', '4796189', '4797924', '4812845', '4827520', '4829578', '4882696', '4907159', '4954958', '4972319', '4984168', '5041983', '5089826', '5115399', '5126941', '5157614', '5170164', '5177685', '5274560', '5353023', '5406492']"
126,6553355,42,2003-04-22,4,3,"['4939726', '5041044', '5088091', '5115433', '5434950', '5577028', '5583914', '5682382', '6049819']"
127,6549893,37,2003-04-15,3,4,"['4622013', '4874784', '4891766', '4931950', '4942527', '4964077', '4977529', '5002491', '5170464', '5172313', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5724262', '5727161', '5727950', '5745110', '5745652', '5772446', '5779468', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539']"
128,6542880,11,2003-04-01,2,3,"['4622013', '4874784', '4891766', '4931950', '4964077', '4977529', '4910691', '5002491', '5014220', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779486', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6018730', '6018731', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539']"
129,6540520,11,2003-04-01,2,4,"['4670848', '5167012', '5372507', '5386498', '5597312', '5727950', '5809493', '5813865', '5870731', '5885087', '5915971', '6112051', '6171109']"
130,6535861,28,2003-03-18,1,3,"['4622013', '4874784', '4981766', '4931950', '4964077', '4977529', '5002491', '5170464', '5189402', '5208745', '5208898', '5239617', '5259766', '5267865', '5310349', '5311422', '5317688', '5326270', '5359701', '5372507', '5395243', '5441415', '5446891', '5491743', '5533903', '5535422', '5537141', '5539869', '5566291', '5576844', '5577186', '5597312', '5616033', '5644686', '5644727', '5673369', '5690496', '5696885', '5701400', '5720007', '5727161', '5727950', '5745652', '5772446', '5779486', '5788508', '5791907', '5799151', '5799292', '5806056', '5810747', '5822745', '5823781', '5823788', '5835683', '5868575', '5870768', '5875437', '5889845', '5893123', '5911581', '5974446', '5987443', '6003021', '6015348', '6016486', '6016731', '6018730', '6018732', '6023691', '6023692', '6026386', '6029156', '6029158', '6029159', '6032141', '6064998', '6067537', '6067538', '6073127', '6085184', '6101489', '6125358', '6134539']"
131,6529872,12,2003-03-04,3,4,"['5226092', '6026359', '6154716', '6182270']"
132,6518584,8,2003-02-11,9,9,['NULL']
